STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
,7010,74,70,70,84,57,47,,,63,,,77,,,,,
WEST,7254,66,73,60,62,,58,74,,81,,,,,,66,,
NORTH,7128,55,76,85,63,60,60,,,65,,,,,72,,,
WEST,7268,78,70,66,61,,53,,65,61,,,,82,,,,
CENTRAL,7180,61,70,65,71,,60,68,,70,,,66,,,,,
ALPHA,6969,71,69,42,65,,63,82,,69,,,,75,,,,
,7133,54,65,76,66,57,82,,74,60,,,,,,,,
EAST,7199,69,76,55,63,61,76,,,71,,,,,,62,,
,7003,70,88,46,65,,47,,66,81,,,,71,,,,
,7051,77,80,36,61,,55,81,,65,,,,79,,,,
SOUTH,7213,61,78,45,75,,56,,61,73,,,,,,,,87
,7024,72,71,54,72,57,60,75,,70,,,,,,,,
CENTRAL,7120,71,66,65,66,51,65,,,70,,,,,,,,72
WEST,7076,70,81,50,82,52,50,,,71,,,,73,,,,
ALPHA,7185,57,65,51,66,51,84,75,,79,,,,,,,,
,7144,67,66,41,72,,68,72,,73,,,,70,,,,
CENTRAL,7156,72,65,56,71,45,73,80,,65,,,,,,,,
NORTH,7212,55,69,70,68,,57,,60,71,,,76,,,,,
SOUTH,7225,67,75,45,81,,76,59,,63,,,62,,,,,
,7148,56,81,77,61,57,69,71,,55,,,,,,,,
WEST,7262,66,65,70,85,45,54,,,73,,73,,,,,,
CENTRAL,7138,65,71,65,60,80,60,,,50,,,71,,,,,
CENTRAL,7210,73,75,84,65,43,53,66,,65,,,,,,,,
,7086,71,79,71,70,47,51,,,69,,,,,67,,,
,7104,54,75,80,57,,72,79,,53,62,,,,,,,
NORTH,7170,68,64,81,66,59,56,,,63,,72,,,,,,
,6986,68,79,70,47,,53,63,,70,75,,,,,,,
WEST,7208,67,84,57,65,,48,75,,63,,,,,,,65,
,6966,66,75,40,77,,65,,60,73,,,,,61,,,
NORTH,7206,66,65,60,67,,45,,60,75,,,,,,,,79
SOUTH,7021,66,61,70,73,51,70,72,,57,,,,,,,,
,6998,70,75,55,66,,52,70,,68,,,64,,,,,
WEST,7274,66,71,67,65,,55,71,,59,,,,66,,,,
ALPHA,7155,69,68,60,73,47,54,84,,70,,,,,,,,
EAST,7001,67,68,54,60,,62,77,,65,,,,,,66,,
SOUTH,7285,60,63,56,70,,62,67,,62,,,79,,,,,
ALPHA,7089,72,74,40,61,,51,83,,70,65,,,,,,,
SOUTH,6955,64,75,43,67,,62,,58,67,,,92,,,,,
CENTRAL,7300,63,64,65,71,47,60,,,71,,,,71,,,,
WEST,6968,77,78,55,61,,46,69,,58,,,,72,,,,
EAST,7286,65,65,83,52,45,57,,,65,,,75,,,,,
SOUTH,7015,71,56,53,49,,61,73,,73,,,78,,,,,
CENTRAL,7096,72,61,55,73,46,64,66,,70,,,,,,,,
CENTRAL,7102,67,73,50,70,45,50,73,,75,,,,,,,,
,7002,70,74,56,55,,43,73,,68,,,68,,,,,
NORTH,7176,54,71,71,52,55,53,,,67,,,,,,,,86
CENTRAL,6964,65,60,60,52,56,64,71,,74,,,,,,,,
SOUTH,7069,69,59,72,61,,55,65,,63,,,,,62,,,
EAST,7175,70,61,65,51,56,63,71,,64,,,,,,,,
,7040,66,80,41,65,,37,75,,64,,,73,,,,,
WEST,7136,65,75,38,65,,41,,69,62,,,,,,,,86
CENTRAL,7126,55,73,65,58,42,61,70,,70,,,,,,,,
SOUTH,7195,61,75,68,61,,55,,55,64,,,57,,,,,
WEST,7226,66,76,61,52,,47,61,,72,,,62,,,,,
WEST,7166,69,69,42,65,,52,74,,68,,,63,,,,,
,7063,59,54,45,71,52,68,,,67,,,84,,,,,
SOUTH,7189,59,73,65,71,47,68,,44,72,,,,,,,,
WEST,7058,68,76,44,58,,44,81,,57,,,73,,,,,
,7131,72,66,56,63,44,53,,,71,,,,71,,,,
ALPHA,7137,62,76,63,60,48,57,,55,73,,,,,,,,
SOUTH,6985,59,65,36,68,,47,66,,78,,,,,,,,77
,7070,69,69,77,57,45,50,,,64,,,67,,,,,
WEST,7088,73,69,50,77,,43,,58,60,,,,67,,,,
ALPHA,7303,73,65,43,64,,45,,56,70,,,,,,,,75
EAST,7205,64,51,46,66,,55,70,,58,,,81,,,,,
WEST,7256,70,70,48,62,,40,71,,63,,,,,,,,68
CENTRAL,7168,56,66,35,62,,51,75,,65,,,76,,,,,
NORTH,7158,60,70,55,60,,42,73,,62,,,,,,66,,
,7046,65,75,40,61,,49,70,,51,,,,75,,,,
WEST,7100,66,75,63,57,37,45,,,70,,,,77,,,,
WEST,7028,64,74,44,54,,56,73,,64,,,71,,,,,
NORTH,7062,64,65,65,67,48,49,,,73,,,,,,64,,
CENTRAL,7186,59,57,25,70,,45,80,,74,,,82,,,,,
EAST,7211,57,68,46,46,,55,75,,64,,,,,,80,,
NORTH,7098,70,65,60,59,54,60,,50,68,,,,,,,,
SOUTH,7260,68,69,52,60,45,60,68,,66,,,,,,,,
SOUTH,7249,50,61,50,55,,42,75,,67,,,,,,,,85
WEST,7172,71,76,61,50,42,46,70,,67,,,,,,,,
ALPHA,7302,61,68,30,72,,50,,65,65,,,,,,,,71
CENTRAL,7192,68,66,23,65,,53,,60,72,,,,75,,,,
WEST,7022,60,75,51,70,50,61,,,56,,,,,59,,,
SOUTH,6994,68,74,59,57,48,52,,,68,,,,,,,,69
CENTRAL,7090,74,73,58,73,36,48,77,,53,,,,,,,,
ALPHA,7005,67,64,59,65,47,61,,,79,,,,,46,,,
EAST,7223,63,74,62,51,,60,72,,59,,,,,,,48,
NORTH,7224,59,71,47,71,,43,,50,72,,,74,,,,,
EAST,6971,62,75,42,54,,44,71,,65,,,,,,,,71
WEST,7064,61,70,51,60,,41,79,,59,63,,,,,,,
ALPHA,7071,53,65,57,65,,45,,62,71,,63,,,,,,
,6995,69,66,47,70,50,62,,,61,,,,,56,,,
EAST,7115,65,65,73,50,40,70,,57,59,,,,,,,,
NORTH,7056,46,60,53,50,,55,78,,58,,,,,,,,82
SOUTH,7075,56,56,63,61,56,59,,,70,,,,,,60,,
ALPHA,7203,55,71,47,64,,48,,53,74,,,,72,,,,
CENTRAL,7174,58,69,48,80,46,57,60,,67,,,,,,,,
WEST,7142,69,71,57,58,49,45,,,62,,,,,,72,,
ALPHA,7107,70,74,35,57,,42,73,,67,,,,,,64,,
WEST,7052,71,84,34,70,,47,,50,72,,,,,50,,,
WEST,6980,70,78,55,48,,56,,45,55,,,,,,,,68
ALPHA,7222,47,74,41,59,,52,76,,52,,,,,,,,80
NORTH,7272,60,63,43,63,,50,64,,66,,,69,,,,,
,7151,58,59,66,60,41,50,,,61,,,76,,,,,
EAST,7163,55,65,70,55,39,56,,57,73,,,,,,,,
,7068,57,80,26,52,,42,77,,70,,,,,,,,70
NORTH,7280,51,71,54,71,,51,,60,46,,,67,,,,,
ALPHA,7029,66,78,32,65,,45,,52,71,,,,,60,,,
ALPHA,6951,49,70,36,62,48,57,77,,72,,,,,,,,
NORTH,7188,59,70,41,64,,41,,62,71,,,64,,,,,
WEST,7016,50,88,48,60,51,49,,,60,,,,67,,,,
EAST,7277,74,73,41,52,,60,70,,51,,,,,48,,,
,6978,56,83,60,49,62,40,,,57,,,,,61,,,
,7134,69,68,70,60,52,45,,50,54,,,,,,,,
NORTH,7247,55,64,52,66,48,52,,,70,,,,,,,,60
SOUTH,7123,59,63,41,60,,52,,48,75,,,,71,,,,
,7034,60,65,51,60,36,53,,,66,,,,71,,,,
WEST,7238,77,65,42,46,,46,,41,65,,,,,,,,83
EAST,7293,65,66,21,46,,40,82,,76,,,,61,,,,
ALPHA,7167,63,72,47,63,,43,,38,73,,,,,,70,,
EAST,7079,65,71,43,64,37,54,71,,63,,,,,,,,
SOUTH,7092,62,66,47,59,,47,57,,69,,,,,,,,60
,7101,56,62,34,61,,42,71,,58,,,,,,,,82
ALPHA,7269,69,56,72,45,39,51,67,,65,,,,,,,,
EAST,7304,57,64,27,56,,62,66,,56,,,,,,,,76
WEST,6974,74,69,65,58,37,47,,,60,,,,,55,,,
EAST,6959,50,76,45,42,,53,61,,61,70,,,,,,,
NORTH,7200,66,65,57,54,,50,,50,51,,,,65,,,,
,6957,49,69,60,50,,44,59,,71,,,63,,,,,
ALPHA,7257,62,64,54,61,,40,67,,62,,54,,,,,,
CENTRAL,7216,56,72,29,62,,45,63,,72,,,,63,,,,
CENTRAL,7072,72,52,30,66,,40,64,,66,,,,,,,,69
NORTH,7146,71,68,45,52,27,50,,,72,,,,,,,,71
SOUTH,7261,66,75,52,61,41,57,45,,57,,,,,,,,
,7235,65,61,38,65,,36,55,,70,,,63,,,,,
EAST,7253,61,56,71,40,45,55,,,60,,,,,,64,,
WEST,7004,62,73,38,64,,50,58,,63,,,53,,,,,
ALPHA,7215,46,71,32,66,,48,76,,57,,,,,,,,59
,7009,59,71,48,56,57,50,,,66,,,,,49,,,
SOUTH,7201,58,68,40,67,41,58,62,,63,,,,,,,,
ALPHA,6999,58,70,38,49,,41,66,,65,,65,,,,,,
CENTRAL,7000,55,65,49,48,,52,66,,56,,,,,,,,60
,7130,67,60,24,55,,33,72,,63,,,78,,,,,
,7214,62,71,36,43,,40,84,,65,,,51,,,,,
WEST,7244,67,65,55,53,,49,54,,50,,,,,,,60,
,6984,67,60,41,51,,31,63,,66,70,,,,,,,
,7080,60,55,60,53,47,42,,65,65,,,,,,,,
NORTH,7298,64,61,40,55,,40,62,,65,,,,,,60,,
SOUTH,7027,60,60,46,50,40,57,68,,67,,,,,,,,
,7125,54,71,34,63,35,62,,66,69,,,,,,,,
ALPHA,7239,67,64,32,54,,44,56,,66,,,,73,,,,
,6997,59,59,53,60,29,55,,,63,,,,78,,,,
SOUTH,7099,77,63,34,52,,36,59,,67,,,,,,66,,
EAST,7097,68,61,36,48,,44,61,,67,,,,67,,,,
CENTRAL,6952,67,62,41,62,,35,63,,60,,,,,,58,,
EAST,7265,50,58,39,55,,46,65,,57,,,,,,,,77
SOUTH,7087,59,55,58,46,27,60,,70,71,,,,,,,,
,6962,58,65,41,60,,38,67,,58,,,63,,,,,
WEST,7018,51,60,31,66,,42,68,,69,,63,,,,,,
CENTRAL,6988,55,65,32,50,,45,67,,65,,,,,,62,,
SOUTH,7129,67,73,17,53,,40,66,,64,,,61,,,,,
,7160,65,63,55,53,24,45,,,71,,,66,,,,,
WEST,7220,66,60,20,58,,54,57,,66,,,60,,,,,
SOUTH,6967,60,73,64,55,47,44,,57,48,,,,,,,,
WEST,7067,51,65,30,46,,37,68,,67,,,77,,,,,
ALPHA,7233,67,63,15,64,38,56,,,66,,,67,,,,,
CENTRAL,7054,65,64,31,52,,35,63,,62,,,,,,,,67
EAST,7295,67,54,38,61,36,50,74,,60,,,,,,,,
NORTH,7266,54,60,38,41,,38,70,,66,,74,,,,,,
WEST,7154,55,71,21,66,,34,76,,65,,,,,40,,,
ALPHA,7053,61,59,30,65,,38,65,,66,,,,,,,,48
NORTH,7116,65,70,38,46,,37,56,,60,,,58,,,,,
WEST,7281,60,70,41,47,,30,63,,57,,,,62,,,,
ALPHA,7017,66,74,27,56,,39,,61,69,,,,,,,43,
,7006,55,62,54,58,43,36,,56,66,,,,,,,,
CENTRAL,7290,54,63,45,56,39,55,64,,55,,,,,,,,
EAST,7145,57,70,54,48,30,45,,,63,,,,,,62,,
NORTH,7110,59,70,30,51,,35,,63,65,,,54,,,,,
,7191,74,66,17,47,,34,,58,74,,,,56,,,,
ALPHA,7245,51,71,35,60,41,41,,,51,,73,,,,,,
CENTRAL,7246,52,69,35,57,,39,60,,62,,,53,,,,,
NORTH,6990,57,66,57,37,,32,74,,55,,,,,45,,,
ALPHA,6975,58,73,24,45,,25,69,,56,,,,,,,,71
CENTRAL,6982,56,61,31,55,35,40,70,,68,,,,,,,,
NORTH,7074,53,71,35,50,,40,77,,51,,,,,41,,,
EAST,6983,67,61,46,38,,54,64,,53,,,,,43,,,
ALPHA,7059,53,60,68,55,,37,,38,42,,,66,,,,,
NORTH,7248,68,66,37,46,,36,57,,50,58,,,,,,,
WEST,7232,71,60,16,54,,34,53,,65,,,,,,,,56
CENTRAL,7234,57,70,14,50,,36,64,,50,,,64,,,,,
ALPHA,6981,63,69,27,35,,28,72,,69,56,,,,,,,
CENTRAL,7084,57,64,32,49,,30,,54,66,,,,67,,,,
CENTRAL,7252,57,60,32,55,,45,,43,52,,68,,,,,,
EAST,7085,64,65,24,38,,46,62,,58,,,,55,,,,
CENTRAL,7030,56,65,41,55,,36,40,,60,,,,,,,,52
EAST,7241,54,40,52,59,39,53,,,60,,58,,,,,,
ALPHA,7023,50,66,25,43,,45,59,,59,,,,,,,,61
WEST,6956,71,79,24,30,,20,60,,53,,,61,,,,,
ALPHA,7047,60,55,27,49,,33,52,,72,,,59,,,,,
CENTRAL,7292,57,59,25,64,,42,51,,59,,,51,,,,,
CENTRAL,7048,67,52,32,56,,36,55,,53,,,,,,,,52
EAST,7073,58,53,42,45,,55,46,,58,,,,,46,,,
SOUTH,7273,61,61,37,50,,35,63,,52,,,,44,,,,
SOUTH,7093,52,58,47,46,,45,,45,50,,,,56,,,,
CENTRAL,7258,63,63,38,55,15,35,74,,53,,,,,,,,
WEST,7196,57,63,13,47,,23,63,,53,,,70,,,,,
NORTH,7122,63,56,14,33,,20,61,,65,,,71,,,,,
WEST,7204,49,53,29,54,,34,62,,66,64,,,,,,,
EAST,7271,51,61,27,44,,46,62,,64,,,,,,,46,
NORTH,7032,47,63,38,54,,21,61,,56,56,,,,,,,
CENTRAL,7276,66,53,54,55,39,41,,36,53,,,,,,,,
,7150,56,63,50,62,33,36,,,40,,,,,,,,54
CENTRAL,7291,66,59,20,47,,27,63,,58,,,53,,,,,
NORTH,7020,56,66,46,50,,33,,37,60,,,,,,,43,
CENTRAL,7289,43,65,37,41,46,26,60,,71,,,,,,,,
ALPHA,7041,47,68,16,44,,37,66,,67,,,,,40,,,
SOUTH,7267,60,56,18,41,,44,,52,62,,,,,,,,50
NORTH,6996,59,61,29,48,,37,67,,52,,,,,,,42,
WEST,7202,58,73,26,35,,28,51,,63,,,58,,,,,
EAST,7109,42,55,33,46,,48,66,,48,,,,,51,,,
CENTRAL,7042,56,43,36,56,,41,,42,61,,,,50,,,,
NORTH,7297,61,62,37,42,,24,66,,55,39,,,,,,,
ALPHA,7275,57,51,27,51,46,36,,40,67,,,,,,,,
CENTRAL,7279,65,61,42,43,38,30,,,50,,,,,,48,,
NORTH,7218,57,46,33,47,,45,70,,54,,,,,,24,,
SOUTH,7117,47,50,30,43,,38,51,,60,,55,,,,,,
CENTRAL,7114,53,61,28,52,,26,62,,62,,,,,,,30,
CENTRAL,7221,54,48,25,38,,36,51,,60,,,,,,,,61
EAST,7049,51,43,17,26,,24,65,,64,,71,,,,,,
EAST,7294,61,54,29,29,,52,54,,47,52,,,,,,,
EAST,7157,44,49,24,44,,61,58,,51,,,,,,,,41
SOUTH,7111,44,64,50,37,,30,38,,65,,,,,,,40,
NORTH,7242,63,63,52,47,20,34,,,56,,,,,,30,,
NORTH,7094,36,61,19,42,,16,63,,55,,,,,,,59,
NORTH,7278,53,60,36,36,,25,58,,41,51,,,,,,,
NORTH,7228,60,55,44,30,,31,,30,56,,,,50,,,,
SOUTH,7219,57,48,17,43,,37,57,,50,,,48,,,,,
EAST,7061,60,60,13,42,,21,52,,53,,,44,,,,,
SOUTH,7231,47,56,25,34,,28,43,,56,,71,,,,,,
,7044,49,40,20,47,,30,69,,43,,,55,,,,,
NORTH,7283,56,54,19,38,,30,52,,46,55,,,,,,,
SOUTH,7081,48,50,14,31,,20,61,,56,56,,,,,,,
EAST,7229,44,47,33,31,,31,55,,60,,,52,,,,,
SOUTH,7177,48,55,12,40,,21,53,,62,42,,,,,,,
ALPHA,7065,50,45,13,28,,26,60,,60,,,41,,,,,
EAST,7031,48,51,28,44,,38,35,,59,,,,,,,40,
EAST,7127,60,46,24,35,,22,47,,39,58,,,,,,,
SOUTH,7237,44,53,17,40,23,37,51,,59,,,,,,,,
CENTRAL,7240,58,40,6,19,,14,49,,55,,,41,,,,,
NORTH,7140,45,40,13,26,,21,55,,44,,,52,,,,,
SOUTH,7057,61,29,8,41,,24,31,,51,,,40,,,,,
CENTRAL,7288,42,42,8,23,,20,37,,52,,,,33,,,,
EAST,6947,56,66,76,70,58,81,,,78,,,,,,,,73
WEST,6743,58,65,73,60,54,78,,64,69,,,,,,,,
SOUTH,6724,58,64,78,55,54,65,,43,77,,,,,,,,
EAST,6650,63,68,71,63,51,62,,60,70,,,,,,,,
ALPHA,6732,67,70,67,63,56,85,,50,66,,,,,,,,
ALPHA,6660,65,56,55,55,46,75,,49,71,,,,,,,,
EAST,6632,47,74,66,57,45,77,,,64,,,,,,,,82
WEST,6641,56,77,46,57,,63,58,,73,,,57,,,,,
ALPHA,6890,63,54,73,52,64,74,,51,52,,,,,,,,
NORTH,6639,54,68,62,44,,58,,50,56,,,,,,,,70
ALPHA,6744,61,63,61,63,51,77,,58,70,,,,,,,,
CENTRAL,6891,62,68,63,72,49,70,,51,75,,,,,,,,
ALPHA,6938,67,73,65,61,51,78,,58,69,,,,,,,,
CENTRAL,6727,66,65,67,67,67,81,,,68,,,,75,,,,
WEST,6605,63,65,51,47,58,66,,,69,,,57,,,,,
EAST,6710,50,53,57,71,,72,,68,68,,,,,,,,65
SOUTH,6820,62,63,73,56,46,65,,59,70,,,,,,,,
WEST,6827,49,69,64,66,55,78,,,68,,,,,,,,77
SOUTH,6736,48,64,58,57,50,70,,47,60,,,,,,,,
CENTRAL,6613,41,49,58,65,65,60,,,53,,,,,,,,64
WEST,6725,63,58,60,69,55,67,,70,69,,,,,,,,
ALPHA,6833,71,58,77,45,55,67,,,53,,,,71,,,,
EAST,6862,57,60,59,65,50,71,,,50,,,83,,,,,
WEST,6689,63,66,45,53,,78,61,,66,,,,,,86,,
ALPHA,6762,63,55,63,61,76,64,,40,72,,,,,,,,
NORTH,6819,51,63,78,52,61,82,,50,58,,,,,,,,
WEST,6791,53,60,60,64,44,66,,52,64,,,,,,,,
EAST,6764,55,54,65,55,,71,,61,70,,,,,81,,,
,6637,70,69,54,51,43,65,,62,54,,,,,,,,
,6649,61,56,70,60,54,82,,,68,,,68,,,,,
CENTRAL,6936,63,63,65,60,55,68,,56,65,,,,,,,,
NORTH,6735,58,54,55,47,,60,,57,61,,,,69,,,,
,6758,58,63,71,63,44,60,,,74,,,,,71,,,
EAST,6782,53,58,51,68,,63,,60,58,,,67,,,,,
NORTH,6825,51,59,53,50,58,72,,46,66,,,,,,,,
,6755,67,65,78,65,64,83,,,59,,,67,,,,,
,6924,0,0,40,0,,0,,12:00 PM,12:00 PM,,,,,0,,,
WEST,6935,49,60,40,49,,62,,44,70,,,,,,,,75
ALPHA,6654,57,61,64,48,,53,,33,53,,,,50,,,,
CENTRAL,6607,67,61,60,55,,62,,42,65,,,,,,,,53
NORTH,6633,63,58,44,52,50,77,,,71,,,,67,,,,
WEST,6923,61,55,55,57,45,55,,,61,,,,,,,,61
ALPHA,6672,57,60,62,61,49,70,,43,71,,,,,,,,
,6829,61,68,86,61,61,82,,,54,,,65,,,,,
CENTRAL,6840,60,55,75,50,66,72,,,47,,,,,,74,,
SOUTH,6772,53,55,47,54,,59,,59,59,,,70,,,,,
,6794,66,66,62,70,43,71,,,70,,85,,,,,,
EAST,6853,41,45,73,53,40,58,,25,45,,,,,,,,
NORTH,6813,50,69,62,56,36,58,,50,68,,,,,,,,
ALPHA,6860,58,59,54,51,38,56,,,59,,,,,,,,51
CENTRAL,6739,63,56,64,49,60,64,62,,74,,,,,,,,
WEST,6659,66,51,51,59,,55,64,,72,,,,,,,,69
CENTRAL,6715,64,66,30,64,53,65,,,70,,,,,,,,69
NORTH,6848,56,65,56,54,,63,,29,67,,,,,,,,72
ALPHA,6838,45,68,60,58,58,55,,41,45,,,,,,,,
CENTRAL,6787,63,64,72,52,50,63,,,57,,,,,,,,41
EAST,6868,78,63,68,60,51,70,,,56,,,,,,82,,
NORTH,6669,57,65,66,62,45,67,,65,75,,,,,,,,
,6837,63,69,38,48,,65,47,,63,,,,,,,,66
WEST,6941,53,54,59,48,65,64,,,61,,,,54,,,,
SOUTH,6812,54,53,48,51,41,60,56,,69,,,,,,,,
ALPHA,6884,56,60,66,57,40,62,,34,60,,,,,,,,
WEST,6665,63,71,47,48,,47,,38,72,,,,,,,,75
ALPHA,6810,60,55,73,53,61,60,72,,61,,,,,,,,
CENTRAL,6817,56,60,55,58,51,64,,48,65,,,,,,,,
EAST,6920,57,56,50,55,,61,,38,72,,,,57,,,,
,6615,54,61,57,57,34,52,,,59,,,,72,,,,
NORTH,6842,42,63,37,40,,52,51,,65,,,,41,,,,
SOUTH,6634,57,61,40,59,46,58,,,59,,70,,,,,,
ALPHA,6726,65,53,61,50,45,61,,,60,,63,,,,,,
,6830,58,55,50,58,31,44,,,56,,,47,,,,,
EAST,6948,71,61,60,53,59,47,,,52,,,,,,,,66
SOUTH,6808,56,57,40,67,,61,84,,70,,,,,,,51,
EAST,6914,48,60,45,52,,70,70,,68,,,,75,,,,
WEST,6677,53,61,35,49,,56,58,,66,,,55,,,,,
,6702,56,55,35,53,44,61,50,,53,,,,,,,,
ALPHA,6912,58,63,58,59,56,73,82,,54,,,,,,,,
,6733,63,56,69,59,53,74,,,63,,,,,86,,,
CENTRAL,6781,58,66,44,60,51,66,,,65,,,,,,,57,
EAST,6752,51,56,56,55,44,52,,,61,,,,,,,,56
,6753,55,68,43,46,51,60,,55,70,,,,,,,,
NORTH,6807,44,55,60,53,38,89,,30,60,,,,,,,,
WEST,6647,51,60,48,60,,61,49,,66,56,,,,,,,
SOUTH,6670,61,60,48,55,53,48,,,56,,,60,,,,,
CENTRAL,6697,66,65,60,60,,58,,50,61,,,,,,,,65
WEST,6761,61,54,46,48,,54,56,,69,,,,,61,,,
EAST,6686,65,61,61,51,,74,,40,61,,,,,,,69,
ALPHA,6928,55,55,43,52,55,66,,,65,,,68,,,,,
SOUTH,6622,44,58,43,49,28,55,,,77,,,,,,,,80
